plant_id,image_path,source,source_page,source_file_url,downloaded_file_url,title,author,license,license_url,reviewed_status
PLANT-0057,/images/plants/local/plant-0057-local-format-01.jpg,Local Flora image folder,,C:\Users\Лесхоз7\Desktop\flora_aroma\Изображения\Мак східний червоний V-120.jpg,C:\Users\Лесхоз7\Desktop\flora_aroma\Изображения\Мак східний червоний V-120.jpg,Мак східний червоний - ?????? ??????????? V-120,Flora & Aroma local file,local_review_needed,,container_photo_not_primary
PLANT-0050,/images/plants/local/plant-0050-format-01.jpg,Local Flora image folder,C:\Users\Лесхоз7\Desktop\flora_aroma\Изображения\Акмела городня V-120 1.jpg,C:\Users\Лесхоз7\Desktop\flora_aroma\Изображения\Акмела городня V-120 1.jpg,/images/plants/local/plant-0050-format-01.jpg,Акмела городня V-120 1,Flora & Aroma local file,operator_supplied,,operator_selected_for_storefront
PLANT-0052,/images/plants/local/plant-0052-format-01.jpg,Local Flora image folder,C:\Users\Лесхоз7\Desktop\flora_aroma\Изображения\Вербена буенос-айреська V-120.jpg,C:\Users\Лесхоз7\Desktop\flora_aroma\Изображения\Вербена буенос-айреська V-120.jpg,,Вербена буенос-айреська - формат вирощування,Flora & Aroma local file,local_review_needed,,container_photo_not_primary
PLANT-0048,/images/plants/local/plant-0048-format-01.jpg,Local Flora image folder,C:\Users\Лесхоз7\Desktop\flora_aroma\Изображения\Вівсяниця сиза Freddy V-120.jpg,C:\Users\Лесхоз7\Desktop\flora_aroma\Изображения\Вівсяниця сиза Freddy V-120.jpg,,Вівсяниця сиза 'Freddy' - формат вирощування,Flora & Aroma local file,local_review_needed,,container_photo_not_primary
PLANT-0011,/images/plants/local/plant-0011-format-01.jpg,Local Flora image folder,C:\Users\Лесхоз7\Desktop\flora_aroma\Изображения\Люпин багатолистий V-120.jpg,C:\Users\Лесхоз7\Desktop\flora_aroma\Изображения\Люпин багатолистий V-120.jpg,,Люпин багатолистий - формат вирощування,Flora & Aroma local file,local_review_needed,,container_photo_not_primary
PLANT-0016,/images/plants/local/plant-0016-format-01.jpg,Local Flora image folder,C:\Users\Лесхоз7\Desktop\flora_aroma\Изображения\Нив яник найбільший V-120.jpg,C:\Users\Лесхоз7\Desktop\flora_aroma\Изображения\Нив яник найбільший V-120.jpg,,Нив'яник найбільший - формат вирощування,Flora & Aroma local file,local_review_needed,,container_photo_not_primary
PLANT-0012,/images/plants/local/plant-0012-format-01.jpg,Local Flora image folder,C:\Users\Лесхоз7\Desktop\flora_aroma\Изображения\Нігелла дамаська V-120.jpg,C:\Users\Лесхоз7\Desktop\flora_aroma\Изображения\Нігелла дамаська V-120.jpg,,Нігелла дамаська 'Персидська троянда' - формат вирощування,Flora & Aroma local file,local_review_needed,,container_photo_not_primary
PLANT-0077,/images/plants/local/plant-0077-format-01.jpg,Local Flora image folder,C:\Users\Лесхоз7\Desktop\flora_aroma\Изображения\Орегано звичайне V-120.jpg,C:\Users\Лесхоз7\Desktop\flora_aroma\Изображения\Орегано звичайне V-120.jpg,,Орегано звичайне - формат вирощування,Flora & Aroma local file,local_review_needed,,container_photo_not_primary
PLANT-0003,/images/plants/local/plant-0003-format-01.jpg,Local Flora image folder,C:\Users\Лесхоз7\Desktop\flora_aroma\Изображения\Пенісетум лисохвостий V-120.jpg,C:\Users\Лесхоз7\Desktop\flora_aroma\Изображения\Пенісетум лисохвостий V-120.jpg,,Пенісетум лисохвостий - формат вирощування,Flora & Aroma local file,local_review_needed,,container_photo_not_primary
PLANT-0024,/images/plants/local/plant-0024-format-01.jpg,Local Flora image folder,C:\Users\Лесхоз7\Desktop\flora_aroma\Изображения\Пижмо звичайне V-120.jpg,C:\Users\Лесхоз7\Desktop\flora_aroma\Изображения\Пижмо звичайне V-120.jpg,,Пижмо звичайне - формат вирощування,Flora & Aroma local file,local_review_needed,,container_photo_not_primary
PLANT-0079,/images/plants/local/plant-0079-format-01.jpg,Local Flora image folder,C:\Users\Лесхоз7\Desktop\flora_aroma\Изображения\Пижмо щиткове V-120.jpg,C:\Users\Лесхоз7\Desktop\flora_aroma\Изображения\Пижмо щиткове V-120.jpg,,Пижмо щиткове - формат вирощування,Flora & Aroma local file,local_review_needed,,container_photo_not_primary
PLANT-0039,/images/plants/local/plant-0039-format-01.jpg,Local Flora image folder,C:\Users\Лесхоз7\Desktop\flora_aroma\Изображения\Піщанка гірська V-120.jpg,C:\Users\Лесхоз7\Desktop\flora_aroma\Изображения\Піщанка гірська V-120.jpg,,Піщанка гірська 'Snowbank' - формат вирощування,Flora & Aroma local file,local_review_needed,,container_photo_not_primary
PLANT-0049,/images/plants/local/plant-0049-format-01.jpg,Local Flora image folder,C:\Users\Лесхоз7\Desktop\flora_aroma\Изображения\Синюха голуба V-120.jpg,C:\Users\Лесхоз7\Desktop\flora_aroma\Изображения\Синюха голуба V-120.jpg,,Синюха голуба - формат вирощування,Flora & Aroma local file,local_review_needed,,container_photo_not_primary
PLANT-0078,/images/plants/local/plant-0078-format-01.jpg,Local Flora image folder,C:\Users\Лесхоз7\Desktop\flora_aroma\Изображения\Шавлія мускатна V-120.jpg,C:\Users\Лесхоз7\Desktop\flora_aroma\Изображения\Шавлія мускатна V-120.jpg,,Шавлія мускатна - формат вирощування,Flora & Aroma local file,local_review_needed,,container_photo_not_primary
PLANT-0048,/images/plants/local/plant-0048-format-02.jpg,Local Flora image folder,C:\Users\Лесхоз7\Desktop\flora_aroma\Изображения\Вівсяниця сиза Freddy V-120-1.jpg,C:\Users\Лесхоз7\Desktop\flora_aroma\Изображения\Вівсяниця сиза Freddy V-120-1.jpg,,Вівсяниця сиза 'Freddy' - формат вирощування,Flora & Aroma local file,local_review_needed,,container_photo_not_primary
PLANT-0045,/images/plants/local/plant-0045-format-01.jpg,Local Flora image folder,C:\Users\Лесхоз7\Desktop\flora_aroma\Изображения\Ехіум червоний V-120.jpg,C:\Users\Лесхоз7\Desktop\flora_aroma\Изображения\Ехіум червоний V-120.jpg,,Ехіум червоний - формат вирощування,Flora & Aroma local file,local_review_needed,,container_photo_not_primary
PLANT-0051,/images/plants/local/plant-0051-format-01.jpg,Local Flora image folder,C:\Users\Лесхоз7\Desktop\flora_aroma\Изображения\Каламінта котовникова V-120.jpg,C:\Users\Лесхоз7\Desktop\flora_aroma\Изображения\Каламінта котовникова V-120.jpg,,Каламінта котовникова - формат вирощування,Flora & Aroma local file,local_review_needed,,container_photo_not_primary
PLANT-0042,/images/plants/local/plant-0042-format-01.jpg,Local Flora image folder,C:\Users\Лесхоз7\Desktop\flora_aroma\Изображения\Кніфофія ягідна V-120.jpg,C:\Users\Лесхоз7\Desktop\flora_aroma\Изображения\Кніфофія ягідна V-120.jpg,,Кніфофія ягідна - формат вирощування,Flora & Aroma local file,local_review_needed,,container_photo_not_primary
PLANT-0032,/images/plants/local/plant-0032-format-01.jpg,Local Flora image folder,C:\Users\Лесхоз7\Desktop\flora_aroma\Изображения\Сосна звичайна V-120-1.jpg,C:\Users\Лесхоз7\Desktop\flora_aroma\Изображения\Сосна звичайна V-120-1.jpg,,Сосна звичайна - формат вирощування,Flora & Aroma local file,local_review_needed,,container_photo_not_primary
PLANT-0061,/images/plants/local/plant-0061-format-01.jpg,Local Flora image folder,C:\Users\Лесхоз7\Desktop\flora_aroma\Изображения\Шавлія австрійська V-120.jpg,C:\Users\Лесхоз7\Desktop\flora_aroma\Изображения\Шавлія австрійська V-120.jpg,,Шавлія австрійська - формат вирощування,Flora & Aroma local file,local_review_needed,,container_photo_not_primary
PLANT-0041,/images/plants/local/plant-0041-format-01.jpg,Local Flora image folder,C:\Users\Лесхоз7\Desktop\flora_aroma\Изображения\Шавлія дібровна V-120.jpg,C:\Users\Лесхоз7\Desktop\flora_aroma\Изображения\Шавлія дібровна V-120.jpg,,Шавлія дібровна - формат вирощування,Flora & Aroma local file,local_review_needed,,container_photo_not_primary
PLANT-0067,/images/plants/local/plant-0067-local-format-01.jpg,Local Flora image folder,,C:\Users\Лесхоз7\Desktop\flora_aroma\Изображения\Полин гіркий V-120.jpg,C:\Users\Лесхоз7\Desktop\flora_aroma\Изображения\Полин гіркий V-120.jpg,Полин гіркий - ?????? ??????????? V-120,Flora & Aroma local file,local_review_needed,,container_photo_not_primary
PLANT-0082,/images/plants/local/plant-0082-local-format-01.jpg,Local Flora image folder,,C:\Users\Лесхоз7\Desktop\flora_aroma\Изображения\Шавлія лікарська V-120.jpg,C:\Users\Лесхоз7\Desktop\flora_aroma\Изображения\Шавлія лікарська V-120.jpg,Шавлія лікарська - ?????? ??????????? V-120,Flora & Aroma local file,local_review_needed,,container_photo_not_primary
PLANT-0075,/images/plants/local/plant-0075-local-format-01.jpg,Local Flora image folder,,C:\Users\Лесхоз7\Desktop\flora_aroma\Изображения\Ромашка лікарська V-120.jpg,C:\Users\Лесхоз7\Desktop\flora_aroma\Изображения\Ромашка лікарська V-120.jpg,Ромашка лікарська - ?????? ??????????? V-120,Flora & Aroma local file,local_review_needed,,container_photo_not_primary
PLANT-0084,/images/plants/local/plant-0084-format-01.jpg,Local Flora image folder,C:\Users\Лесхоз7\Desktop\flora_aroma\Изображения\Агастахе фенхельне V-120.jpg,C:\Users\Лесхоз7\Desktop\flora_aroma\Изображения\Агастахе фенхельне V-120.jpg,,Агастахе фенхельне - касета Hiko V-120ss,Flora & Aroma local file,local_review_needed,,container_photo_not_primary
PLANT-0064,/images/plants/local/plant-0064-format-01.jpg,Local Flora image folder,C:\Users\Лесхоз7\Desktop\flora_aroma\Изображения\Волошка синя V-120.jpg,C:\Users\Лесхоз7\Desktop\flora_aroma\Изображения\Волошка синя V-120.jpg,,Волошка синя 'Низька махрова суміш' - касета Hiko V-120ss,Flora & Aroma local file,local_review_needed,,container_photo_not_primary
PLANT-0004,/images/plants/local/plant-0004-format-01.jpg,Local Flora image folder,C:\Users\Лесхоз7\Desktop\flora_aroma\Изображения\Гвоздика бородата V-120.jpg,C:\Users\Лесхоз7\Desktop\flora_aroma\Изображения\Гвоздика бородата V-120.jpg,,Гвоздика бородата - касета Hiko V-120ss,Flora & Aroma local file,local_review_needed,,container_photo_not_primary
PLANT-0014,/images/plants/local/plant-0014-format-01.jpg,Local Flora image folder,C:\Users\Лесхоз7\Desktop\flora_aroma\Изображения\Котівник котячий V-120.jpg,C:\Users\Лесхоз7\Desktop\flora_aroma\Изображения\Котівник котячий V-120.jpg,,Котівник котячий - касета Hiko V-120ss,Flora & Aroma local file,operator_supplied,,operator_selected_for_storefront
PLANT-0055,/images/plants/local/plant-0055-format-01.jpg,Local Flora image folder,C:\Users\Лесхоз7\Desktop\flora_aroma\Изображения\Лаванда широколиста V-120-2.jpg,C:\Users\Лесхоз7\Desktop\flora_aroma\Изображения\Лаванда широколиста V-120-2.jpg,,Лаванда широколиста - касета Hiko V-120ss,Flora & Aroma local file,local_review_needed,,container_photo_not_primary
